auroc,auprc,acc,f1_macro,ece,brier,nll,hce,hce_coverage,hce_count,hce_err,intercept,slope,n,bin_counts,setting,method,row,train_seed,scaled
0.5482386582083814,0.575109370178312,0.5343137254901961,0.20142268489147058,0.30873884422794123,0.3603624964490297,1.369278023151737,0.44522144522144524,0.5257352941176471,429,191,0.4051149309566601,0.34905483000886084,816,[414  88  61  66  61  47  18  26  20  15],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA,19940419,False
0.6534986543637064,0.6183181314632431,0.5845588235294118,0.4589877224408758,0.17614812042892156,0.2641549752982088,0.757856873303547,0.27631578947368424,0.18627450980392157,152,42,0.3870645329442979,0.27609253420843044,816,[152 165  65  61 110  80 112  68   3   0],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA,20230801,False
0.6226992022299116,0.607858805984971,0.5759803921568627,0.29367346175350545,0.2516802503308823,0.31278523284873716,1.0319708682770679,0.36789297658862874,0.36642156862745096,299,110,0.48991814319460947,0.11003837206519966,816,[293 114  79  97  57  58  63  30  19   6],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA,20240115,False
0.49849216647443295,0.5168784813575787,0.4987745098039216,0.23122299367582383,0.332709183370098,0.3821617609881991,1.4449813742907531,0.4844559585492228,0.4730392156862745,386,187,0.4462917805018432,0.16492660072054297,816,[374 113  65  46  55  65  45  21  20  12],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA,20240520,False
0.6131355728565936,0.6013854051227604,0.5649509803921569,0.3589163515600389,0.23844098958333332,0.314164152355591,0.9672839250694539,0.4103448275862069,0.3553921568627451,290,119,0.419738133855752,0.23328446195070776,816,[290 117  86  63  47  51  78  68  16   0],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA,20240910,False
0.5482386582083814,0.575109370178312,0.5343137254901961,0.20142268489147058,0.057617193661185194,0.2509430417601061,0.6953352955623832,,0.0,0,0,1.2230074833578581,-1.697604983261375,816,[  0   0   0 216 474 125   1   0   0   0],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,19940419,True
0.6534986543637064,0.6183181314632431,0.5845588235294118,0.4589877224408758,0.05063091330688768,0.23739262865622596,0.667445769491525,,0.0,0,0,-0.1975116047553072,1.543339967827127,816,[  0   0   0 283 270 263   0   0   0   0],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,20230801,True
0.6226992022299116,0.607858805984971,0.5759803921568627,0.29367346175350545,0.051555769136047466,0.24379531000046878,0.6806055857709988,,0.0,0,0,1.029557100734758,-1.3114069180894548,816,[  0   0   0 209 431 175   1   0   0   0],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,20240115,True
0.49849216647443295,0.5168784813575787,0.4987745098039216,0.23122299367582383,0.07152760280803955,0.25759446545537995,0.7091287821215613,,0.0,0,0,1.233845855685019,-1.7688150310533888,816,[  0   0   0 243 410 162   1   0   0   0],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,20240520,True
0.6131355728565936,0.6013854051227604,0.5649509803921569,0.3589163515600389,0.07468291251886364,0.24420284669355843,0.6813645440318732,,0.0,0,0,-0.7831065156636606,2.743969997728325,816,[  0   0   0  90 513 213   0   0   0   0],fewer,EviDDIE w/o BSA,EviDDIE w/o BSA + TempScale,20240910,True
0.6843707133058985,0.6059739353538867,0.6759259259259259,0.6818572902193593,0.1364184552314815,0.2232313836212306,0.6293793379970976,0.0,0.041666666666666664,9,0,-0.06323597765030796,0.9809701025640798,216,[  9  15  12   7  33 131   4   4   1   0],rare,EviDDIE,EviDDIE,19940419,False
0.8074417009602194,0.8109996275237238,0.7314814814814815,0.6481275494731267,0.08680420652777772,0.18493545094972846,0.5529343255424428,,0.0,0,0,-0.16121254102793175,1.1078654538547401,216,[ 0  9 32 37 18 11 12 74 23  0],rare,EviDDIE,EviDDIE,20230801,False
0.6890432098765432,0.6451941484894861,0.6111111111111112,0.5595332828091448,0.07265493662037038,0.2182742513259169,0.6265567515001401,0.25,0.018518518518518517,4,1,0.00826282510442245,0.9975837892463115,216,[ 4 14 16 12 58 75 22 15  0  0],rare,EviDDIE,EviDDIE,20240115,False
0.7315672153635115,0.6651218940252248,0.6712962962962963,0.7198040098501395,0.1389206738888889,0.23284976765156745,0.6538376739032459,0.0,0.013888888888888888,3,0,-0.024637287043251004,1.041547722407676,216,[  3  17   7   7  35 141   3   2   1   0],rare,EviDDIE,EviDDIE,20240520,False
0.70670438957476,0.6529927852728361,0.6157407407407407,0.7029781309717349,0.08535048199074077,0.2316087439074725,0.6534376960314735,,0.0,0,0,-0.18440493960536639,1.2000191524126882,216,[  0   6   6   5  16 159  15   9   0   0],rare,EviDDIE,EviDDIE,20240910,False
0.6843707133058985,0.6059739353538867,0.6759259259259259,0.6818572902193593,0.14892535845971025,0.23397150392148236,0.6601264046881921,,0.0,0,0,-1.0111028563043307,3.171952819149957,216,[  0   0   2  23  51 138   2   0   0   0],rare,EviDDIE,EviDDIE + TempScale,19940419,True
0.8074417009602194,0.8109996275237238,0.7314814814814815,0.6481275494731267,0.12337824978750576,0.19459926832635635,0.5778569408619797,,0.0,0,0,-0.4619114266284422,1.778356795747517,216,[ 0  0  9 47 40 14 79 27  0  0],rare,EviDDIE,EviDDIE + TempScale,20230801,True
0.6890432098765432,0.6451941484894861,0.6111111111111112,0.5595332828091448,0.0835395997731279,0.22081654748388402,0.6319464260304568,0.0,0.004629629629629629,1,0,-0.17829653309475357,1.3885972515355416,216,[ 1 12 15 15 61 82 30  0  0  0],rare,EviDDIE,EviDDIE + TempScale,20240115,True
